Query,Type,State,City
"plasma donation center, Savannah GA",General,GA,Savannah
"CSL Plasma, Savannah GA",Brand,GA,Savannah
"BioLife Plasma, Savannah GA",Brand,GA,Savannah
"Grifols Biomat, Savannah GA",Brand,GA,Savannah
"Octapharma Plasma, Savannah GA",Brand,GA,Savannah
"KEDPLASMA, Savannah GA",Brand,GA,Savannah
"Interstate Blood Bank, Savannah GA",Brand,GA,Savannah
"ImmunoTek Bio Centers, Savannah GA",Brand,GA,Savannah
"Talecris Plasma Resources, Savannah GA",Brand,GA,Savannah
"Blood and Plasma Research, Savannah GA",Brand,GA,Savannah
"B Positive Plasma, Savannah GA",Brand,GA,Savannah
"Freedom Plasma, Savannah GA",Brand,GA,Savannah
"GCAM Plasma, Savannah GA",Brand,GA,Savannah
"ADMA BioCenters, Savannah GA",Brand,GA,Savannah
"Southern Blood Services, Savannah GA",Brand,GA,Savannah
"plasma donation center, Athens GA",General,GA,Athens
"CSL Plasma, Athens GA",Brand,GA,Athens
"BioLife Plasma, Athens GA",Brand,GA,Athens
"Grifols Biomat, Athens GA",Brand,GA,Athens
"Octapharma Plasma, Athens GA",Brand,GA,Athens
"KEDPLASMA, Athens GA",Brand,GA,Athens
"Interstate Blood Bank, Athens GA",Brand,GA,Athens
"ImmunoTek Bio Centers, Athens GA",Brand,GA,Athens
"Talecris Plasma Resources, Athens GA",Brand,GA,Athens
"Blood and Plasma Research, Athens GA",Brand,GA,Athens
"B Positive Plasma, Athens GA",Brand,GA,Athens
"Freedom Plasma, Athens GA",Brand,GA,Athens
"GCAM Plasma, Athens GA",Brand,GA,Athens
"ADMA BioCenters, Athens GA",Brand,GA,Athens
"Southern Blood Services, Athens GA",Brand,GA,Athens
"plasma donation center, Sandy Springs GA",General,GA,Sandy Springs
"CSL Plasma, Sandy Springs GA",Brand,GA,Sandy Springs
"BioLife Plasma, Sandy Springs GA",Brand,GA,Sandy Springs
"Grifols Biomat, Sandy Springs GA",Brand,GA,Sandy Springs
"Octapharma Plasma, Sandy Springs GA",Brand,GA,Sandy Springs
"KEDPLASMA, Sandy Springs GA",Brand,GA,Sandy Springs
"Interstate Blood Bank, Sandy Springs GA",Brand,GA,Sandy Springs
"ImmunoTek Bio Centers, Sandy Springs GA",Brand,GA,Sandy Springs
"Talecris Plasma Resources, Sandy Springs GA",Brand,GA,Sandy Springs
"Blood and Plasma Research, Sandy Springs GA",Brand,GA,Sandy Springs
"B Positive Plasma, Sandy Springs GA",Brand,GA,Sandy Springs
"Freedom Plasma, Sandy Springs GA",Brand,GA,Sandy Springs
"GCAM Plasma, Sandy Springs GA",Brand,GA,Sandy Springs
"ADMA BioCenters, Sandy Springs GA",Brand,GA,Sandy Springs
"Southern Blood Services, Sandy Springs GA",Brand,GA,Sandy Springs
"plasma donation center, Roswell GA",General,GA,Roswell
"CSL Plasma, Roswell GA",Brand,GA,Roswell
"BioLife Plasma, Roswell GA",Brand,GA,Roswell
"Grifols Biomat, Roswell GA",Brand,GA,Roswell
"Octapharma Plasma, Roswell GA",Brand,GA,Roswell
"KEDPLASMA, Roswell GA",Brand,GA,Roswell
"Interstate Blood Bank, Roswell GA",Brand,GA,Roswell
"ImmunoTek Bio Centers, Roswell GA",Brand,GA,Roswell
"Talecris Plasma Resources, Roswell GA",Brand,GA,Roswell
"Blood and Plasma Research, Roswell GA",Brand,GA,Roswell
"B Positive Plasma, Roswell GA",Brand,GA,Roswell
"Freedom Plasma, Roswell GA",Brand,GA,Roswell
"GCAM Plasma, Roswell GA",Brand,GA,Roswell
"ADMA BioCenters, Roswell GA",Brand,GA,Roswell
"Southern Blood Services, Roswell GA",Brand,GA,Roswell
"plasma donation center, Johns Creek GA",General,GA,Johns Creek
"CSL Plasma, Johns Creek GA",Brand,GA,Johns Creek
"BioLife Plasma, Johns Creek GA",Brand,GA,Johns Creek
"Grifols Biomat, Johns Creek GA",Brand,GA,Johns Creek
"Octapharma Plasma, Johns Creek GA",Brand,GA,Johns Creek
"KEDPLASMA, Johns Creek GA",Brand,GA,Johns Creek
"Interstate Blood Bank, Johns Creek GA",Brand,GA,Johns Creek
"ImmunoTek Bio Centers, Johns Creek GA",Brand,GA,Johns Creek
"Talecris Plasma Resources, Johns Creek GA",Brand,GA,Johns Creek
"Blood and Plasma Research, Johns Creek GA",Brand,GA,Johns Creek
"B Positive Plasma, Johns Creek GA",Brand,GA,Johns Creek
"Freedom Plasma, Johns Creek GA",Brand,GA,Johns Creek
"GCAM Plasma, Johns Creek GA",Brand,GA,Johns Creek
"ADMA BioCenters, Johns Creek GA",Brand,GA,Johns Creek
"Southern Blood Services, Johns Creek GA",Brand,GA,Johns Creek
"plasma donation center, Warner Robins GA",General,GA,Warner Robins
"CSL Plasma, Warner Robins GA",Brand,GA,Warner Robins
"BioLife Plasma, Warner Robins GA",Brand,GA,Warner Robins
"Grifols Biomat, Warner Robins GA",Brand,GA,Warner Robins
"Octapharma Plasma, Warner Robins GA",Brand,GA,Warner Robins
"KEDPLASMA, Warner Robins GA",Brand,GA,Warner Robins
"Interstate Blood Bank, Warner Robins GA",Brand,GA,Warner Robins
"ImmunoTek Bio Centers, Warner Robins GA",Brand,GA,Warner Robins
"Talecris Plasma Resources, Warner Robins GA",Brand,GA,Warner Robins
"Blood and Plasma Research, Warner Robins GA",Brand,GA,Warner Robins
"B Positive Plasma, Warner Robins GA",Brand,GA,Warner Robins
"Freedom Plasma, Warner Robins GA",Brand,GA,Warner Robins
"GCAM Plasma, Warner Robins GA",Brand,GA,Warner Robins
"ADMA BioCenters, Warner Robins GA",Brand,GA,Warner Robins
"Southern Blood Services, Warner Robins GA",Brand,GA,Warner Robins
"plasma donation center, HI",General,HI,
"CSL Plasma, HI",Brand,HI,
"BioLife Plasma, HI",Brand,HI,
"Grifols Biomat, HI",Brand,HI,
"Octapharma Plasma, HI",Brand,HI,
"KEDPLASMA, HI",Brand,HI,
"Interstate Blood Bank, HI",Brand,HI,
"ImmunoTek Bio Centers, HI",Brand,HI,
"Talecris Plasma Resources, HI",Brand,HI,
"Blood and Plasma Research, HI",Brand,HI,
"B Positive Plasma, HI",Brand,HI,
"Freedom Plasma, HI",Brand,HI,
"GCAM Plasma, HI",Brand,HI,
"ADMA BioCenters, HI",Brand,HI,
"Southern Blood Services, HI",Brand,HI,
"plasma donation center, Honolulu HI",General,HI,Honolulu
"CSL Plasma, Honolulu HI",Brand,HI,Honolulu
"BioLife Plasma, Honolulu HI",Brand,HI,Honolulu
"Grifols Biomat, Honolulu HI",Brand,HI,Honolulu
"Octapharma Plasma, Honolulu HI",Brand,HI,Honolulu
"KEDPLASMA, Honolulu HI",Brand,HI,Honolulu
"Interstate Blood Bank, Honolulu HI",Brand,HI,Honolulu
"ImmunoTek Bio Centers, Honolulu HI",Brand,HI,Honolulu
"Talecris Plasma Resources, Honolulu HI",Brand,HI,Honolulu
"Blood and Plasma Research, Honolulu HI",Brand,HI,Honolulu
"B Positive Plasma, Honolulu HI",Brand,HI,Honolulu
"Freedom Plasma, Honolulu HI",Brand,HI,Honolulu
"GCAM Plasma, Honolulu HI",Brand,HI,Honolulu
"ADMA BioCenters, Honolulu HI",Brand,HI,Honolulu
"Southern Blood Services, Honolulu HI",Brand,HI,Honolulu
"plasma donation center, East Honolulu HI",General,HI,East Honolulu
"CSL Plasma, East Honolulu HI",Brand,HI,East Honolulu
"BioLife Plasma, East Honolulu HI",Brand,HI,East Honolulu
"Grifols Biomat, East Honolulu HI",Brand,HI,East Honolulu
"Octapharma Plasma, East Honolulu HI",Brand,HI,East Honolulu
"KEDPLASMA, East Honolulu HI",Brand,HI,East Honolulu
"Interstate Blood Bank, East Honolulu HI",Brand,HI,East Honolulu
"ImmunoTek Bio Centers, East Honolulu HI",Brand,HI,East Honolulu
"Talecris Plasma Resources, East Honolulu HI",Brand,HI,East Honolulu
"Blood and Plasma Research, East Honolulu HI",Brand,HI,East Honolulu
"B Positive Plasma, East Honolulu HI",Brand,HI,East Honolulu
"Freedom Plasma, East Honolulu HI",Brand,HI,East Honolulu
"GCAM Plasma, East Honolulu HI",Brand,HI,East Honolulu
"ADMA BioCenters, East Honolulu HI",Brand,HI,East Honolulu
"Southern Blood Services, East Honolulu HI",Brand,HI,East Honolulu
"plasma donation center, Pearl City HI",General,HI,Pearl City
"CSL Plasma, Pearl City HI",Brand,HI,Pearl City
"BioLife Plasma, Pearl City HI",Brand,HI,Pearl City
"Grifols Biomat, Pearl City HI",Brand,HI,Pearl City
"Octapharma Plasma, Pearl City HI",Brand,HI,Pearl City
"KEDPLASMA, Pearl City HI",Brand,HI,Pearl City
"Interstate Blood Bank, Pearl City HI",Brand,HI,Pearl City
"ImmunoTek Bio Centers, Pearl City HI",Brand,HI,Pearl City
"Talecris Plasma Resources, Pearl City HI",Brand,HI,Pearl City
"Blood and Plasma Research, Pearl City HI",Brand,HI,Pearl City
"B Positive Plasma, Pearl City HI",Brand,HI,Pearl City
"Freedom Plasma, Pearl City HI",Brand,HI,Pearl City
"GCAM Plasma, Pearl City HI",Brand,HI,Pearl City
"ADMA BioCenters, Pearl City HI",Brand,HI,Pearl City
"Southern Blood Services, Pearl City HI",Brand,HI,Pearl City
"plasma donation center, Hilo HI",General,HI,Hilo
"CSL Plasma, Hilo HI",Brand,HI,Hilo
"BioLife Plasma, Hilo HI",Brand,HI,Hilo
"Grifols Biomat, Hilo HI",Brand,HI,Hilo
"Octapharma Plasma, Hilo HI",Brand,HI,Hilo
"KEDPLASMA, Hilo HI",Brand,HI,Hilo
"Interstate Blood Bank, Hilo HI",Brand,HI,Hilo
"ImmunoTek Bio Centers, Hilo HI",Brand,HI,Hilo
"Talecris Plasma Resources, Hilo HI",Brand,HI,Hilo
"Blood and Plasma Research, Hilo HI",Brand,HI,Hilo
"B Positive Plasma, Hilo HI",Brand,HI,Hilo
"Freedom Plasma, Hilo HI",Brand,HI,Hilo
"GCAM Plasma, Hilo HI",Brand,HI,Hilo
"ADMA BioCenters, Hilo HI",Brand,HI,Hilo
"Southern Blood Services, Hilo HI",Brand,HI,Hilo
"plasma donation center, Kailua HI",General,HI,Kailua
"CSL Plasma, Kailua HI",Brand,HI,Kailua
"BioLife Plasma, Kailua HI",Brand,HI,Kailua
"Grifols Biomat, Kailua HI",Brand,HI,Kailua
"Octapharma Plasma, Kailua HI",Brand,HI,Kailua
"KEDPLASMA, Kailua HI",Brand,HI,Kailua
"Interstate Blood Bank, Kailua HI",Brand,HI,Kailua
"ImmunoTek Bio Centers, Kailua HI",Brand,HI,Kailua
"Talecris Plasma Resources, Kailua HI",Brand,HI,Kailua
"Blood and Plasma Research, Kailua HI",Brand,HI,Kailua
"B Positive Plasma, Kailua HI",Brand,HI,Kailua
"Freedom Plasma, Kailua HI",Brand,HI,Kailua
"GCAM Plasma, Kailua HI",Brand,HI,Kailua
"ADMA BioCenters, Kailua HI",Brand,HI,Kailua
"Southern Blood Services, Kailua HI",Brand,HI,Kailua
"plasma donation center, Waipahu HI",General,HI,Waipahu
"CSL Plasma, Waipahu HI",Brand,HI,Waipahu
"BioLife Plasma, Waipahu HI",Brand,HI,Waipahu
"Grifols Biomat, Waipahu HI",Brand,HI,Waipahu
"Octapharma Plasma, Waipahu HI",Brand,HI,Waipahu
"KEDPLASMA, Waipahu HI",Brand,HI,Waipahu
"Interstate Blood Bank, Waipahu HI",Brand,HI,Waipahu
"ImmunoTek Bio Centers, Waipahu HI",Brand,HI,Waipahu
"Talecris Plasma Resources, Waipahu HI",Brand,HI,Waipahu
"Blood and Plasma Research, Waipahu HI",Brand,HI,Waipahu
"B Positive Plasma, Waipahu HI",Brand,HI,Waipahu
"Freedom Plasma, Waipahu HI",Brand,HI,Waipahu
"GCAM Plasma, Waipahu HI",Brand,HI,Waipahu
"ADMA BioCenters, Waipahu HI",Brand,HI,Waipahu
"Southern Blood Services, Waipahu HI",Brand,HI,Waipahu
"plasma donation center, Kaneohe HI",General,HI,Kaneohe
"CSL Plasma, Kaneohe HI",Brand,HI,Kaneohe
"BioLife Plasma, Kaneohe HI",Brand,HI,Kaneohe
"Grifols Biomat, Kaneohe HI",Brand,HI,Kaneohe
"Octapharma Plasma, Kaneohe HI",Brand,HI,Kaneohe
"KEDPLASMA, Kaneohe HI",Brand,HI,Kaneohe
"Interstate Blood Bank, Kaneohe HI",Brand,HI,Kaneohe
"ImmunoTek Bio Centers, Kaneohe HI",Brand,HI,Kaneohe
"Talecris Plasma Resources, Kaneohe HI",Brand,HI,Kaneohe
"Blood and Plasma Research, Kaneohe HI",Brand,HI,Kaneohe
"B Positive Plasma, Kaneohe HI",Brand,HI,Kaneohe
"Freedom Plasma, Kaneohe HI",Brand,HI,Kaneohe
"GCAM Plasma, Kaneohe HI",Brand,HI,Kaneohe
"ADMA BioCenters, Kaneohe HI",Brand,HI,Kaneohe
"Southern Blood Services, Kaneohe HI",Brand,HI,Kaneohe
"plasma donation center, Mililani Town HI",General,HI,Mililani Town
"CSL Plasma, Mililani Town HI",Brand,HI,Mililani Town
"BioLife Plasma, Mililani Town HI",Brand,HI,Mililani Town
"Grifols Biomat, Mililani Town HI",Brand,HI,Mililani Town
"Octapharma Plasma, Mililani Town HI",Brand,HI,Mililani Town
"KEDPLASMA, Mililani Town HI",Brand,HI,Mililani Town
"Interstate Blood Bank, Mililani Town HI",Brand,HI,Mililani Town
"ImmunoTek Bio Centers, Mililani Town HI",Brand,HI,Mililani Town
"Talecris Plasma Resources, Mililani Town HI",Brand,HI,Mililani Town
"Blood and Plasma Research, Mililani Town HI",Brand,HI,Mililani Town
"B Positive Plasma, Mililani Town HI",Brand,HI,Mililani Town
"Freedom Plasma, Mililani Town HI",Brand,HI,Mililani Town
"GCAM Plasma, Mililani Town HI",Brand,HI,Mililani Town
"ADMA BioCenters, Mililani Town HI",Brand,HI,Mililani Town
"Southern Blood Services, Mililani Town HI",Brand,HI,Mililani Town
"plasma donation center, Ewa Gentry HI",General,HI,Ewa Gentry
"CSL Plasma, Ewa Gentry HI",Brand,HI,Ewa Gentry
"BioLife Plasma, Ewa Gentry HI",Brand,HI,Ewa Gentry
"Grifols Biomat, Ewa Gentry HI",Brand,HI,Ewa Gentry
"Octapharma Plasma, Ewa Gentry HI",Brand,HI,Ewa Gentry
"KEDPLASMA, Ewa Gentry HI",Brand,HI,Ewa Gentry
"Interstate Blood Bank, Ewa Gentry HI",Brand,HI,Ewa Gentry
"ImmunoTek Bio Centers, Ewa Gentry HI",Brand,HI,Ewa Gentry
"Talecris Plasma Resources, Ewa Gentry HI",Brand,HI,Ewa Gentry
"Blood and Plasma Research, Ewa Gentry HI",Brand,HI,Ewa Gentry
"B Positive Plasma, Ewa Gentry HI",Brand,HI,Ewa Gentry
"Freedom Plasma, Ewa Gentry HI",Brand,HI,Ewa Gentry
"GCAM Plasma, Ewa Gentry HI",Brand,HI,Ewa Gentry
"ADMA BioCenters, Ewa Gentry HI",Brand,HI,Ewa Gentry
"Southern Blood Services, Ewa Gentry HI",Brand,HI,Ewa Gentry
"plasma donation center, Kahului HI",General,HI,Kahului
"CSL Plasma, Kahului HI",Brand,HI,Kahului
"BioLife Plasma, Kahului HI",Brand,HI,Kahului
"Grifols Biomat, Kahului HI",Brand,HI,Kahului
"Octapharma Plasma, Kahului HI",Brand,HI,Kahului
"KEDPLASMA, Kahului HI",Brand,HI,Kahului
"Interstate Blood Bank, Kahului HI",Brand,HI,Kahului
"ImmunoTek Bio Centers, Kahului HI",Brand,HI,Kahului
"Talecris Plasma Resources, Kahului HI",Brand,HI,Kahului
"Blood and Plasma Research, Kahului HI",Brand,HI,Kahului
"B Positive Plasma, Kahului HI",Brand,HI,Kahului
"Freedom Plasma, Kahului HI",Brand,HI,Kahului
"GCAM Plasma, Kahului HI",Brand,HI,Kahului
"ADMA BioCenters, Kahului HI",Brand,HI,Kahului
"Southern Blood Services, Kahului HI",Brand,HI,Kahului
"plasma donation center, ID",General,ID,
"CSL Plasma, ID",Brand,ID,
"BioLife Plasma, ID",Brand,ID,
"Grifols Biomat, ID",Brand,ID,
"Octapharma Plasma, ID",Brand,ID,
"KEDPLASMA, ID",Brand,ID,
"Interstate Blood Bank, ID",Brand,ID,
"ImmunoTek Bio Centers, ID",Brand,ID,
"Talecris Plasma Resources, ID",Brand,ID,
"Blood and Plasma Research, ID",Brand,ID,
"B Positive Plasma, ID",Brand,ID,
"Freedom Plasma, ID",Brand,ID,
"GCAM Plasma, ID",Brand,ID,
"ADMA BioCenters, ID",Brand,ID,
"Southern Blood Services, ID",Brand,ID,
"plasma donation center, Boise ID",General,ID,Boise
"CSL Plasma, Boise ID",Brand,ID,Boise
"BioLife Plasma, Boise ID",Brand,ID,Boise
"Grifols Biomat, Boise ID",Brand,ID,Boise
"Octapharma Plasma, Boise ID",Brand,ID,Boise
"KEDPLASMA, Boise ID",Brand,ID,Boise
"Interstate Blood Bank, Boise ID",Brand,ID,Boise
"ImmunoTek Bio Centers, Boise ID",Brand,ID,Boise
"Talecris Plasma Resources, Boise ID",Brand,ID,Boise
"Blood and Plasma Research, Boise ID",Brand,ID,Boise
"B Positive Plasma, Boise ID",Brand,ID,Boise
"Freedom Plasma, Boise ID",Brand,ID,Boise
"GCAM Plasma, Boise ID",Brand,ID,Boise
"ADMA BioCenters, Boise ID",Brand,ID,Boise
"Southern Blood Services, Boise ID",Brand,ID,Boise
"plasma donation center, Meridian ID",General,ID,Meridian
"CSL Plasma, Meridian ID",Brand,ID,Meridian
"BioLife Plasma, Meridian ID",Brand,ID,Meridian
"Grifols Biomat, Meridian ID",Brand,ID,Meridian
"Octapharma Plasma, Meridian ID",Brand,ID,Meridian
"KEDPLASMA, Meridian ID",Brand,ID,Meridian
"Interstate Blood Bank, Meridian ID",Brand,ID,Meridian
"ImmunoTek Bio Centers, Meridian ID",Brand,ID,Meridian
"Talecris Plasma Resources, Meridian ID",Brand,ID,Meridian
"Blood and Plasma Research, Meridian ID",Brand,ID,Meridian
"B Positive Plasma, Meridian ID",Brand,ID,Meridian
"Freedom Plasma, Meridian ID",Brand,ID,Meridian
"GCAM Plasma, Meridian ID",Brand,ID,Meridian
"ADMA BioCenters, Meridian ID",Brand,ID,Meridian
"Southern Blood Services, Meridian ID",Brand,ID,Meridian
"plasma donation center, Nampa ID",General,ID,Nampa
"CSL Plasma, Nampa ID",Brand,ID,Nampa
"BioLife Plasma, Nampa ID",Brand,ID,Nampa
"Grifols Biomat, Nampa ID",Brand,ID,Nampa
"Octapharma Plasma, Nampa ID",Brand,ID,Nampa
"KEDPLASMA, Nampa ID",Brand,ID,Nampa
"Interstate Blood Bank, Nampa ID",Brand,ID,Nampa
"ImmunoTek Bio Centers, Nampa ID",Brand,ID,Nampa
"Talecris Plasma Resources, Nampa ID",Brand,ID,Nampa
"Blood and Plasma Research, Nampa ID",Brand,ID,Nampa
"B Positive Plasma, Nampa ID",Brand,ID,Nampa
"Freedom Plasma, Nampa ID",Brand,ID,Nampa
"GCAM Plasma, Nampa ID",Brand,ID,Nampa
"ADMA BioCenters, Nampa ID",Brand,ID,Nampa
"Southern Blood Services, Nampa ID",Brand,ID,Nampa
"plasma donation center, Idaho Falls ID",General,ID,Idaho Falls
"CSL Plasma, Idaho Falls ID",Brand,ID,Idaho Falls
"BioLife Plasma, Idaho Falls ID",Brand,ID,Idaho Falls
"Grifols Biomat, Idaho Falls ID",Brand,ID,Idaho Falls
"Octapharma Plasma, Idaho Falls ID",Brand,ID,Idaho Falls
"KEDPLASMA, Idaho Falls ID",Brand,ID,Idaho Falls
"Interstate Blood Bank, Idaho Falls ID",Brand,ID,Idaho Falls
"ImmunoTek Bio Centers, Idaho Falls ID",Brand,ID,Idaho Falls
"Talecris Plasma Resources, Idaho Falls ID",Brand,ID,Idaho Falls
"Blood and Plasma Research, Idaho Falls ID",Brand,ID,Idaho Falls
"B Positive Plasma, Idaho Falls ID",Brand,ID,Idaho Falls
"Freedom Plasma, Idaho Falls ID",Brand,ID,Idaho Falls
"GCAM Plasma, Idaho Falls ID",Brand,ID,Idaho Falls
"ADMA BioCenters, Idaho Falls ID",Brand,ID,Idaho Falls
"Southern Blood Services, Idaho Falls ID",Brand,ID,Idaho Falls
"plasma donation center, Pocatello ID",General,ID,Pocatello
"CSL Plasma, Pocatello ID",Brand,ID,Pocatello
"BioLife Plasma, Pocatello ID",Brand,ID,Pocatello
"Grifols Biomat, Pocatello ID",Brand,ID,Pocatello
"Octapharma Plasma, Pocatello ID",Brand,ID,Pocatello
"KEDPLASMA, Pocatello ID",Brand,ID,Pocatello
"Interstate Blood Bank, Pocatello ID",Brand,ID,Pocatello
"ImmunoTek Bio Centers, Pocatello ID",Brand,ID,Pocatello
"Talecris Plasma Resources, Pocatello ID",Brand,ID,Pocatello
"Blood and Plasma Research, Pocatello ID",Brand,ID,Pocatello
"B Positive Plasma, Pocatello ID",Brand,ID,Pocatello
"Freedom Plasma, Pocatello ID",Brand,ID,Pocatello
"GCAM Plasma, Pocatello ID",Brand,ID,Pocatello
"ADMA BioCenters, Pocatello ID",Brand,ID,Pocatello
"Southern Blood Services, Pocatello ID",Brand,ID,Pocatello
"plasma donation center, Caldwell ID",General,ID,Caldwell
"CSL Plasma, Caldwell ID",Brand,ID,Caldwell
"BioLife Plasma, Caldwell ID",Brand,ID,Caldwell
"Grifols Biomat, Caldwell ID",Brand,ID,Caldwell
"Octapharma Plasma, Caldwell ID",Brand,ID,Caldwell
"KEDPLASMA, Caldwell ID",Brand,ID,Caldwell
"Interstate Blood Bank, Caldwell ID",Brand,ID,Caldwell
"ImmunoTek Bio Centers, Caldwell ID",Brand,ID,Caldwell
"Talecris Plasma Resources, Caldwell ID",Brand,ID,Caldwell
"Blood and Plasma Research, Caldwell ID",Brand,ID,Caldwell
"B Positive Plasma, Caldwell ID",Brand,ID,Caldwell
"Freedom Plasma, Caldwell ID",Brand,ID,Caldwell
"GCAM Plasma, Caldwell ID",Brand,ID,Caldwell
"ADMA BioCenters, Caldwell ID",Brand,ID,Caldwell
"Southern Blood Services, Caldwell ID",Brand,ID,Caldwell
"plasma donation center, Coeur d'Alene ID",General,ID,Coeur d'Alene
"CSL Plasma, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"BioLife Plasma, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"Grifols Biomat, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"Octapharma Plasma, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"KEDPLASMA, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"Interstate Blood Bank, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"ImmunoTek Bio Centers, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"Talecris Plasma Resources, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"Blood and Plasma Research, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"B Positive Plasma, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"Freedom Plasma, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"GCAM Plasma, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"ADMA BioCenters, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"Southern Blood Services, Coeur d'Alene ID",Brand,ID,Coeur d'Alene
"plasma donation center, Twin Falls ID",General,ID,Twin Falls
"CSL Plasma, Twin Falls ID",Brand,ID,Twin Falls
"BioLife Plasma, Twin Falls ID",Brand,ID,Twin Falls
"Grifols Biomat, Twin Falls ID",Brand,ID,Twin Falls
"Octapharma Plasma, Twin Falls ID",Brand,ID,Twin Falls
"KEDPLASMA, Twin Falls ID",Brand,ID,Twin Falls
"Interstate Blood Bank, Twin Falls ID",Brand,ID,Twin Falls
"ImmunoTek Bio Centers, Twin Falls ID",Brand,ID,Twin Falls
"Talecris Plasma Resources, Twin Falls ID",Brand,ID,Twin Falls
"Blood and Plasma Research, Twin Falls ID",Brand,ID,Twin Falls
"B Positive Plasma, Twin Falls ID",Brand,ID,Twin Falls
"Freedom Plasma, Twin Falls ID",Brand,ID,Twin Falls
"GCAM Plasma, Twin Falls ID",Brand,ID,Twin Falls
"ADMA BioCenters, Twin Falls ID",Brand,ID,Twin Falls
"Southern Blood Services, Twin Falls ID",Brand,ID,Twin Falls
"plasma donation center, Lewiston ID",General,ID,Lewiston
"CSL Plasma, Lewiston ID",Brand,ID,Lewiston
"BioLife Plasma, Lewiston ID",Brand,ID,Lewiston
"Grifols Biomat, Lewiston ID",Brand,ID,Lewiston
"Octapharma Plasma, Lewiston ID",Brand,ID,Lewiston
"KEDPLASMA, Lewiston ID",Brand,ID,Lewiston
"Interstate Blood Bank, Lewiston ID",Brand,ID,Lewiston
"ImmunoTek Bio Centers, Lewiston ID",Brand,ID,Lewiston
"Talecris Plasma Resources, Lewiston ID",Brand,ID,Lewiston
"Blood and Plasma Research, Lewiston ID",Brand,ID,Lewiston
"B Positive Plasma, Lewiston ID",Brand,ID,Lewiston
"Freedom Plasma, Lewiston ID",Brand,ID,Lewiston
"GCAM Plasma, Lewiston ID",Brand,ID,Lewiston
"ADMA BioCenters, Lewiston ID",Brand,ID,Lewiston
"Southern Blood Services, Lewiston ID",Brand,ID,Lewiston
"plasma donation center, Post Falls ID",General,ID,Post Falls
"CSL Plasma, Post Falls ID",Brand,ID,Post Falls
"BioLife Plasma, Post Falls ID",Brand,ID,Post Falls
"Grifols Biomat, Post Falls ID",Brand,ID,Post Falls
"Octapharma Plasma, Post Falls ID",Brand,ID,Post Falls
"KEDPLASMA, Post Falls ID",Brand,ID,Post Falls
"Interstate Blood Bank, Post Falls ID",Brand,ID,Post Falls
"ImmunoTek Bio Centers, Post Falls ID",Brand,ID,Post Falls
"Talecris Plasma Resources, Post Falls ID",Brand,ID,Post Falls
"Blood and Plasma Research, Post Falls ID",Brand,ID,Post Falls
"B Positive Plasma, Post Falls ID",Brand,ID,Post Falls
"Freedom Plasma, Post Falls ID",Brand,ID,Post Falls
"GCAM Plasma, Post Falls ID",Brand,ID,Post Falls
"ADMA BioCenters, Post Falls ID",Brand,ID,Post Falls
"Southern Blood Services, Post Falls ID",Brand,ID,Post Falls
"plasma donation center, IL",General,IL,
"CSL Plasma, IL",Brand,IL,
"BioLife Plasma, IL",Brand,IL,
"Grifols Biomat, IL",Brand,IL,
"Octapharma Plasma, IL",Brand,IL,
"KEDPLASMA, IL",Brand,IL,
"Interstate Blood Bank, IL",Brand,IL,
"ImmunoTek Bio Centers, IL",Brand,IL,
"Talecris Plasma Resources, IL",Brand,IL,
"Blood and Plasma Research, IL",Brand,IL,
"B Positive Plasma, IL",Brand,IL,
"Freedom Plasma, IL",Brand,IL,
"GCAM Plasma, IL",Brand,IL,
"ADMA BioCenters, IL",Brand,IL,
"Southern Blood Services, IL",Brand,IL,
"plasma donation center, Chicago IL",General,IL,Chicago
"CSL Plasma, Chicago IL",Brand,IL,Chicago
"BioLife Plasma, Chicago IL",Brand,IL,Chicago
"Grifols Biomat, Chicago IL",Brand,IL,Chicago
"Octapharma Plasma, Chicago IL",Brand,IL,Chicago
"KEDPLASMA, Chicago IL",Brand,IL,Chicago
"Interstate Blood Bank, Chicago IL",Brand,IL,Chicago
"ImmunoTek Bio Centers, Chicago IL",Brand,IL,Chicago
"Talecris Plasma Resources, Chicago IL",Brand,IL,Chicago
"Blood and Plasma Research, Chicago IL",Brand,IL,Chicago
"B Positive Plasma, Chicago IL",Brand,IL,Chicago
"Freedom Plasma, Chicago IL",Brand,IL,Chicago
"GCAM Plasma, Chicago IL",Brand,IL,Chicago
"ADMA BioCenters, Chicago IL",Brand,IL,Chicago
"Southern Blood Services, Chicago IL",Brand,IL,Chicago
"plasma donation center, Aurora IL",General,IL,Aurora
"CSL Plasma, Aurora IL",Brand,IL,Aurora
